Year,Attribute,Value
1953,"Capital: All capital: Price (index, 2015=1)",0.110660291
1953,"Capital: All capital: Quantity (million, $2015)",116140.2117
1953,"Capital: Durable equipment: Price (index, 2015=1)",0.121791666
1953,"Capital: Durable equipment: Quantity (million, $2015)",22553.20868
1953,"Capital: Service buildings: Price (index, 2015=1)",0.08913861
1953,"Capital: Service buildings: Quantity (million, $2015)",5777.590973
1953,"Capital: Land: Price (index, 2015=1)",0.117639441
1953,"Capital: Land: Quantity (million, $2015)",78195.19627
1953,"Capital: Inventories: Price (index, 2015=1)",0.10293682
1953,"Capital: Inventories: Quantity (million, $2015)",3803.024216
1953,"Labor: All labor: Price (index, 2015=1)",0.036720435
1953,"Labor: All labor: Quantity (million, $2015)",246426.5567
1953,"Labor: Hired labor: Price (index, 2015=1)",0.03819317
1953,"Labor: Hired labor: Quantity (million, $2015)",72250.0152
1953,"Labor: Self-employed and unpaid family: Price (index, 2015=1)",0.035966918
1953,"Labor: Self-employed and unpaid family: Quantity (million, $2015)",174867.1732
1953,"Intermediate goods: All intermediate goods: Price (index, 2015=1)",0.151034651
1953,"Intermediate goods: All intermediate goods: Quantity (million, $2015)",113046.7606
1953,"Intermediate goods: Feed and seed: Price (index, 2015=1)",0.194349028
1953,"Intermediate goods: Feed and seed: Quantity (million, $2015)",55678.08467
1953,"Intermediate goods: Energy: Price (index, 2015=1)",0.060358373
1953,"Intermediate goods: Energy: Quantity (million, $2015)",24155.66093
1953,"Intermediate goods: Fertilizer and lime: Price (index, 2015=1)",0.130716516
1953,"Intermediate goods: Fertilizer and lime: Quantity (million, $2015)",9011.868076
1953,"Intermediate goods: Pesticides: Price (index, 2015=1)",0.382414564
1953,"Intermediate goods: Pesticides: Quantity (million, $2015)",405.3192917
1953,"Intermediate goods: Purchased services: Price (index, 2015=1)",0.111412618
1953,"Intermediate goods: Purchased services: Quantity (million, $2015)",28977.83193
1953,"Intermediate goods: Other intermediate: Price (index, 2015=1)",0.114930651
1953,"Intermediate goods: Other intermediate: Quantity (million, $2015)",2031.693784
1954,"Total output: Price (index, 2015=1)",0.245590015
1954,"Total output: Quantity (million, $2015)",153454.7536
1954,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.199886148
1954,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",82457.95391
1954,"Livestock and products: Meat animals: Price (index, 2015=1)",0.146493761
1954,"Livestock and products: Meat animals: Quantity (million, $2015)",53970.21237
1954,"Livestock and products: Dairy: Price (index, 2015=1)",0.224409697
1954,"Livestock and products: Dairy: Quantity (million, $2015)",18332.63919
1954,"Livestock and products: Poultry and eggs: Price (index, 2015=1)",0.364348097
1954,"Livestock and products: Poultry and eggs: Quantity (million, $2015)",9249.596823
1954,"Crops: All crops: Price (index, 2015=1)",0.292452494
1954,"Crops: All crops: Quantity (million, $2015)",70438.55609
1954,"Crops: Food grains: Price (index, 2015=1)",0.423362197
1954,"Crops: Food grains: Quantity (million, $2015)",5733.307868
1954,"Crops: Feed crops: Price (index, 2015=1)",0.292806501
1954,"Crops: Feed crops: Quantity (million, $2015)",29677.40523
1954,"Crops: Oil crops: Price (index, 2015=1)",0.304802278
1954,"Crops: Oil crops: Quantity (million, $2015)",4841.01469
1954,"Crops: Vegetables and melons: Price (index, 2015=1)",0.174949023
1954,"Crops: Vegetables and melons: Quantity (million, $2015)",8848.291791
1954,"Crops: Fruits and tree nuts: Price (index, 2015=1)",0.135476426
1954,"Crops: Fruits and tree nuts: Quantity (million, $2015)",9005.256784
1954,"Crops: Other crops 2/: Price (index, 2015=1)",0.350725654
1954,"Crops: Other crops 2/: Quantity (million, $2015)",13233.80274
1954,"Farm-related output 3/: Price (index, 2015=1)",0.117053576
1954,"Farm-related output 3/: Quantity (million, $2015)",5167.044172
1954,"Total farm inputs: Price (index, 2015=1)",0.0980369
1954,"Total farm inputs: Quantity (million, $2015)",384416.0222
1954,"Capital: All capital: Price (index, 2015=1)",0.101988011
1954,"Capital: All capital: Quantity (million, $2015)",117159.1328
1954,"Capital: Durable equipment: Price (index, 2015=1)",0.127179017
1954,"Capital: Durable equipment: Quantity (million, $2015)",23701.51789
1954,"Capital: Service buildings: Price (index, 2015=1)",0.098205588
1954,"Capital: Service buildings: Quantity (million, $2015)",5904.181705
1954,"Capital: Land: Price (index, 2015=1)",0.103300345
1954,"Capital: Land: Quantity (million, $2015)",77838.42392
1954,"Capital: Inventories: Price (index, 2015=1)",0.084303429
1954,"Capital: Inventories: Quantity (million, $2015)",3723.82838
1954,"Labor: All labor: Price (index, 2015=1)",0.03679067
1954,"Labor: All labor: Quantity (million, $2015)",241492.0329
1954,"Labor: Hired labor: Price (index, 2015=1)",0.038482554
1954,"Labor: Hired labor: Quantity (million, $2015)",68118.61767
1954,"Labor: Self-employed and unpaid family: Price (index, 2015=1)",0.035948754
1954,"Labor: Self-employed and unpaid family: Quantity (million, $2015)",174227.8835
1954,"Intermediate goods: All intermediate goods: Price (index, 2015=1)",0.157272926
1954,"Intermediate goods: All intermediate goods: Quantity (million, $2015)",107160.6855
1954,"Intermediate goods: Feed and seed: Price (index, 2015=1)",0.205419238
1954,"Intermediate goods: Feed and seed: Quantity (million, $2015)",51550.54659
1954,"Intermediate goods: Energy: Price (index, 2015=1)",0.06183462
1954,"Intermediate goods: Energy: Quantity (million, $2015)",24080.36954
1954,"Intermediate goods: Fertilizer and lime: Price (index, 2015=1)",0.13209131
1954,"Intermediate goods: Fertilizer and lime: Quantity (million, $2015)",9152.759524
1954,"Intermediate goods: Pesticides: Price (index, 2015=1)",0.370143029
1954,"Intermediate goods: Pesticides: Quantity (million, $2015)",451.1769422
1954,"Intermediate goods: Purchased services: Price (index, 2015=1)",0.112852661
1954,"Intermediate goods: Purchased services: Quantity (million, $2015)",28075.58075
1954,"Intermediate goods: Other intermediate: Price (index, 2015=1)",0.119801494
1954,"Intermediate goods: Other intermediate: Quantity (million, $2015)",1924.817356
1955,"Total output: Price (index, 2015=1)",0.232540645
1955,"Total output: Quantity (million, $2015)",157672.8116
1955,"Livestock and products: All livestock and products 1/: Price (index, 2015=1)",0.189109529
1955,"Livestock and products: All livestock and products 1/: Quantity (million, $2015)",84079.08632
1955,"Livestock and products: Meat animals: Price (index, 2015=1)",0.127035689
1955,"Livestock and products: Meat animals: Quantity (million, $2015)",55865.65611
1955,"Livestock and products: Dairy: Price (index, 2015=1)",0.226619904
1955,"Livestock and products: Dairy: Quantity (million, $2015)",18608.53756
